0,9.354661808,9.354661808,9.338178047,9.321849801,9.321849801,9.321849801,9.321849801,9.321849801,9.273806327,9.167299552,9.321849801,9.321849801,9.321849801,9.321849801,9.371300263,9.321849801,9.338178047
3,9.405037963,9.405037963,9.371300263,9.354661808,9.371300263,9.354661808,9.354661808,9.354661808,9.371300263,9.211974964,9.338178047,9.354661808,9.354661808,9.354661808,9.422135558,9.371300263,9.371300263
6,9.405037963,9.405037963,9.371300263,9.371300263,9.371300263,9.371300263,9.371300263,9.371300263,9.371300263,9.321849801,9.182028036,9.371300263,9.371300263,9.371300263,9.422135558,9.405037963,9.405037963
8,9.388092589,9.371300263,9.354661808,9.338178047,9.338178047,9.338178047,9.338178047,9.321849801,9.321849801,9.305677889,9.124103483,9.305677889,9.321849801,9.338178047,9.371300263,9.354661808,9.354661808
10,9.388092589,9.371300263,9.354661808,9.338178047,9.338178047,9.321849801,9.321849801,9.321849801,9.321849801,9.289663126,9.138336492,9.227191818,9.338178047,9.321849801,9.371300263,9.338178047,9.321849801
11,9.371300263,9.338178047,9.321849801,9.338178047,9.338178047,9.321849801,9.305677889,9.305677889,9.305677889,9.258108304,9.110037195,9.196920104,9.305677889,9.305677889,9.354661808,9.305677889,9.305677889
13,9.439384548,9.439384548,9.422135558,9.405037963,9.388092589,9.388092589,9.405037963,9.388092589,9.338178047,9.227191818,9.138336492,9.273806327,9.388092589,9.405037963,9.439384548,9.422135558,9.422135558
15,9.422135558,9.422135558,9.405037963,9.405037963,9.371300263,9.289663126,9.182028036,9.124103483,9.110037195,9.138336492,9.242569865,9.338178047,9.405037963,9.422135558,9.474333396,9.405037963,9.405037963
16,9.439384548,9.422135558,9.388092589,9.388092589,9.371300263,9.321849801,9.227191818,9.152735442,9.0961384,9.124103483,9.152735442,9.242569865,9.354661808,9.371300263,9.439384548,9.371300263,9.422135558
17,9.456784104,9.439384548,9.422135558,9.354661808,9.273806327,9.182028036,9.0961384,9.068846359,9.082407866,9.138336492,9.211974964,9.289663126,9.388092589,9.422135558,9.492031595,9.422135558,9.422135558
20,9.422135558,9.388092589,9.321849801,9.196920104,9.0961384,9.003600619,8.954522538,8.908266277,8.942692171,9.003600619,9.082407866,9.182028036,9.273806327,9.338178047,9.422135558,9.371300263,9.354661808
