0,771.9380416,771.9380416,763.3609522,754.7838629,754.7838629,754.7838629,754.7838629,754.7838629,729.0525948,669.0129694,754.7838629,754.7838629,754.7838629,754.7838629,780.5151309,754.7838629,763.3609522
3,797.6693096,797.6693096,780.5151309,771.9380416,780.5151309,771.9380416,771.9380416,771.9380416,780.5151309,694.7442374,763.3609522,771.9380416,771.9380416,771.9380416,806.246399,780.5151309,780.5151309
6,797.6693096,797.6693096,780.5151309,780.5151309,780.5151309,780.5151309,780.5151309,780.5151309,780.5151309,754.7838629,677.5900587,780.5151309,780.5151309,780.5151309,806.246399,797.6693096,797.6693096
8,789.0922203,780.5151309,771.9380416,763.3609522,763.3609522,763.3609522,763.3609522,754.7838629,754.7838629,746.2067735,643.2817013,746.2067735,754.7838629,763.3609522,780.5151309,771.9380416,771.9380416
10,789.0922203,780.5151309,771.9380416,763.3609522,763.3609522,754.7838629,754.7838629,754.7838629,754.7838629,737.6296842,651.8587907,703.3213268,763.3609522,754.7838629,780.5151309,763.3609522,754.7838629
11,780.5151309,763.3609522,754.7838629,763.3609522,763.3609522,754.7838629,746.2067735,746.2067735,746.2067735,720.4755055,634.704612,686.1671481,746.2067735,746.2067735,771.9380416,746.2067735,746.2067735
13,814.8234883,814.8234883,806.246399,797.6693096,789.0922203,789.0922203,797.6693096,789.0922203,763.3609522,703.3213268,651.8587907,729.0525948,789.0922203,797.6693096,814.8234883,806.246399,806.246399
15,806.246399,806.246399,797.6693096,797.6693096,780.5151309,737.6296842,677.5900587,643.2817013,634.704612,651.8587907,711.8984161,763.3609522,797.6693096,806.246399,831.977667,797.6693096,797.6693096
16,814.8234883,806.246399,789.0922203,789.0922203,780.5151309,754.7838629,703.3213268,660.43588,626.1275226,643.2817013,660.43588,711.8984161,771.9380416,780.5151309,814.8234883,780.5151309,806.246399
17,823.4005777,814.8234883,806.246399,771.9380416,729.0525948,677.5900587,626.1275226,608.9733439,617.5504333,651.8587907,694.7442374,737.6296842,789.0922203,806.246399,840.5547564,806.246399,806.246399
20,806.246399,789.0922203,754.7838629,686.1671481,626.1275226,566.0878972,531.7795398,497.4711824,523.2024504,566.0878972,617.5504333,677.5900587,729.0525948,763.3609522,806.246399,780.5151309,771.9380416
